"Person","Position","Level","StartDate","EndDate"
"华煜卿","湖北省人民政府副省长","地方政府","1978","1983"
"郭棣活","广东省人民政府副省长","地方政府","1978","1983"
"杨克成","云南省人民政府副省长","地方政府","1978","1983"
"黄长溪","福建省人民政府副省长","地方政府","1978","1983"
"孙孚凌","北京市人民政府副市长","地方政府","1983","1988"
"姚峻","天津市人民政府副市长","地方政府","1983","1988"
"黄长溪","福建省人民政府副省长","地方政府","1983","1988"
"路明","甘肃省人民政府副省长","地方政府","1983","1988"
"孙孚凌","北京市人民政府副市长","地方政府","1988","1993"
"路明","甘肃省人民政府副省长","地方政府","1988","1993"
"冯梯云","监察部副部长","中央各部委","1988","1993"
"刘珩","纺织工业部副部长","中央各部委","1988","1993"
"白大华","国家工商行政管理局副局长","中央各部委","1988","1993"
"刘鹤章","国家审计署副审计长","中央各部委","1988","1993"
